TimeStamp,Value
TimeStamp,Value
TimeStamp,Value
TimeStamp,Value
20210930193915,167.247402668
20210930193916,1215.69312811
20210930193917,29.3622374535
20210930193918,26.3569116592
20210930193920,1215.69312811
20210930193921,426.502752304
20210930193922,418.067395687
20210930193923,354.522132874
20210930193924,1215.64406157
20210930193925,9.84601974487
20210930193926,10.410284996
20210930193927,9.63748693466
20210930193928,9.00371074677
20210930193929,8.98735523224
20210930193930,9.42895412445
20210930193931,9.50255393982
20210930193932,9.37988758087
20210930193933,9.31446552277
20210930193934,9.36353206635
20210930193935,9.29402112961
20210930193936,8.86877775192
20210930193937,8.81562232971
20210930193938,8.84833335876
20210930193939,8.86877775192
20210930193940,8.79517793655
20210930193941,8.83197784424
20210930193942,8.79926681519
20210930193943,9.29811000824
20210930193944,8.81562232971
20210930193945,8.88513326645
20210930193946,8.81153345108
20210930193947,8.81562232971
20210930193948,8.81562232971
20210930193949,8.83197784424
20210930193950,8.78291130066
20210930193951,8.79517793655
20210930193952,8.88513326645
20210930193953,8.79926681519
20210930193954,8.81562232971
TimeStamp,Value
20210930194344,12.3852133751
20210930194345,12.3647689819
20210930194346,12.3647689819
20210930194347,12.3484134674
20210930194348,12.3852133751
20210930194349,12.3484134674
20210930194350,12.397480011
20210930194351,12.3852133751
20210930194352,12.4179244041
20210930194353,12.397480011
20210930194354,12.397480011
20210930194355,12.3811244965
20210930194356,12.4506354332
20210930194357,12.397480011
20210930194358,12.3852133751
20210930194359,12.3484134674
20210930194400,12.4179244041
20210930194401,12.3852133751
20210930194402,12.3647689819
20210930194403,12.3811244965
20210930194404,12.4015688896
20210930194405,12.3811244965
20210930194406,12.3484134674
20210930194407,14.4378304482
20210930194408,17.8847551346
20210930194409,18.5226202011
20210930194410,18.968307972
20210930194411,13.3747220039
20210930194412,8.35357904434
20210930194413,7.80566930771
20210930194414,6.67304992676
20210930194415,4.0643453598
20210930194416,3.29154729843
20210930194417,3.75767946243
20210930194418,4.20336723328
20210930194419,4.15021181107
20210930194420,1215.98752737
20210930194421,1215.89757204
20210930194422,3.6881685257
20210930194423,1215.45597315
20210930194424,3.82310152054
20210930194425,4.68176603317
20210930194426,5.06203174591
20210930194427,5.57723045349
20210930194428,5.55678606033
20210930194429,5.94931840897
20210930194430,3.38150262833
20210930194431,3.3651471138
20210930194432,3.75767946243
20210930194433,3.77403497696
20210930194434,4.18292284012
20210930194435,11.7841482162
20210930194436,17.4390673637
20210930194437,18.5921311378
20210930194438,19.3812847137
20210930194439,22.8936314583
20210930194440,24.2143392563
20210930194441,21.797811985
20210930194442,22.9835867882
20210930194443,26.9947767258
20210930194444,26.89255476
20210930194445,25.571846962
20210930194446,18.2977318764
20210930194447,22.6033210754
20210930194448,21.6792345047
20210930194449,26.5327334404
20210930194450,27.3382425308
20210930194451,26.4795780182
20210930194452,26.4959335327
20210930194453,26.9579768181
20210930194454,26.9743323326
20210930194456,29.3254375458
20210930194457,28.8797497749
20210930194458,26.737177372
20210930194459,27.1133542061
20210930194500,25.72722435
20210930194501,26.5654444695
20210930194502,26.5981554985
20210930194503,26.5654444695
20210930194504,26.5327334404
20210930194505,28.8265943527
20210930194506,29.4971704483
20210930194507,27.8002858162
20210930194508,27.4404644966
20210930194509,27.8861522675
20210930194510,27.902507782
20210930194511,27.8534412384
20210930194512,27.8861522675
20210930194513,27.8370857239
20210930194514,27.8002858162
20210930194515,27.8861522675
20210930194516,18.6248421669
20210930194517,19.0868854523
20210930194518,19.0868854523
20210930194519,19.0705299377
20210930194520,19.1195964813
20210930194521,19.1400408745
20210930194522,19.1073298454

